ds,yhat,yhat_lower,yhat_upper
2023-07-25,103193.3857226367,-39319.86098834264,245753.08517224327
2023-07-26,111557.78284959067,-31130.211661232028,243149.78345933274
2023-07-27,88459.19456028263,-47372.0177577821,221660.68813585606
2023-07-28,81607.52037755036,-60124.608004013404,217389.8177448725
2023-07-29,92521.1323785749,-45994.93267708497,237540.79905144923
2023-07-30,121782.82334567493,-16578.773975894437,247354.57390349833
2023-07-31,96472.45369006756,-34869.886920584366,246202.45363527117
2023-08-01,102867.45633048342,-38852.23159559786,235358.81986719038
2023-08-02,111231.85345785652,-27992.374562721867,256229.64110788854
2023-08-03,88133.26516882522,-51922.09790222995,217344.75761585557
2023-08-04,81281.59098615384,-50990.020090297585,220170.23155152763
2023-08-05,92195.20298721056,-44783.10614714052,237600.28109547414
2023-08-06,121456.89395429881,-13613.375481492232,269444.4368656743
2023-08-07,96146.52429864492,-38390.14486215307,235375.20510290106
2023-08-08,102541.52693909667,-34310.145312606444,237580.65131854065
2023-08-09,110905.92406644081,-32326.58763991817,248986.9576812484
2023-08-10,87807.33577745044,-55336.80285975416,235037.83994899582
2023-08-11,80955.66159477783,-50000.80394609147,217119.5512162742
2023-08-12,91869.2735958522,-48983.67799541028,231048.45386609194
2023-08-13,121130.96456290717,-23149.547667082887,252307.03204405657
2023-08-14,95820.59491161612,-52564.81931588949,233495.47356546216
2023-08-15,102215.59755631073,-32324.26829352262,237450.1059289962
2023-08-16,110579.99468809091,-34687.222434668096,244673.83453768183
2023-08-17,87481.40640337998,-50042.13353552082,223340.29657046546
2023-08-18,80629.73222500598,-60058.76539144194,213581.43507267584
2023-08-19,91543.34423044429,-54280.73238469292,239185.66640054373
2023-08-20,120805.03520182676,-15946.219989079429,261891.23535460184
2023-08-21,95494.66555047598,-35865.00735561557,234950.06934622323
2023-08-22,101889.66819520648,-47574.25276606762,237273.291445131
2023-08-23,110254.06532694888,-25308.309930230742,257589.7479704771
2023-08-24,87155.47704224638,-47338.98374826586,221190.5186879396
2023-08-25,80303.8028639387,-59531.32907072651,213168.92723431392
2023-08-26,91217.41486923138,-54431.32322099686,227426.56856329658
2023-08-27,120479.10584070215,-17054.79948484866,265801.12267089396
2023-08-28,95168.73618933585,-40481.30952313496,239685.87282585623
2023-08-29,101563.73883414782,-41333.87896789344,240957.35666317408
2023-08-30,109928.13596585506,-29066.381331644407,250674.49203271378
2023-08-31,86829.5476828923,-63672.19509917743,228448.71403372474
2023-09-01,79977.87350606412,-59524.35788019041,219481.49496394614
2023-09-02,90891.48551301724,-42730.804501365084,236017.94673142323
2023-09-03,120153.17648609876,-18350.579852897714,262174.50283367565
2023-09-04,94842.8068363424,-52360.89864584308,228528.3776886787
2023-09-05,101237.80948268205,-49580.74292301215,234661.88261010373
2023-09-06,109602.20661611916,-25850.127041278327,249383.9039898438
2023-09-07,86503.61833307528,-48126.54040508438,219130.79827928665
2023-09-08,79651.94415630228,-56724.02045710842,219645.37576737147
2023-09-09,90565.55616329926,-41859.09923747507,229667.17556921602
2023-09-10,119827.24713634755,-17634.48456721756,266393.38792983163
2023-09-11,94516.87748661947,-47359.23740871997,230772.84985885257
2023-09-12,100911.88013298126,-30216.87371539817,231967.96876846402
2023-09-13,109276.27726638324,-36963.392157218426,249397.48472797615
2023-09-14,86177.68898334091,-63009.90137075679,223726.25896418063
2023-09-15,79326.01480656669,-59058.86438501765,206618.29527700754
2023-09-16,90239.62681345022,-40740.09139790661,232506.88890383812
2023-09-17,119501.31778659634,-20991.546884265237,260108.07827675572
2023-09-18,94190.94813899099,-46941.40315866173,234634.80146410133
2023-09-19,100585.95078736126,-44246.044377306316,246405.9895673638
2023-09-20,108950.34792285699,-29246.630787169666,236757.38127194787
2023-09-21,85851.75964190907,-55036.45537789861,222847.21214558935
2023-09-22,79000.08546724038,-55751.780237956365,206967.1555201574
2023-09-23,89913.69747624798,-42241.04920233905,232790.1280062864
2023-09-24,119175.38845144684,-20646.550671898105,256469.14641597803
2023-09-25,93865.01880381044,-48868.365864132866,235367.35511852216
2023-09-26,100260.0214522622,-36087.322283278576,239969.7231816864
2023-09-27,108624.41858773159,-39619.296606518204,241466.55576223656
2023-09-28,85525.83030673506,-53762.302131244265,222627.33882351068
2023-09-29,78674.15613213273,-63990.62822813582,218829.34468022856
2023-09-30,89587.76814111981,-47043.088298415045,220190.94221332937
2023-10-01,118849.45911631284,-13102.684745122178,264523.90783285553
2023-10-02,93539.0894686638,-43791.12875116427,238384.4308429396
2023-10-03,99934.09211716312,-42025.25201240608,242006.98160792977
2023-10-04,108298.48925254919,-27536.182899219697,257728.10906144234
2023-10-05,85199.90097292839,-50949.783257764655,222885.72480057427
2023-10-06,78348.22679970716,-63756.55047158788,214859.96064458392
2023-10-07,89261.8388101054,-53055.744928744636,211584.64686286784
2023-10-08,118523.52978664564,-8876.335788243176,259343.36476765666
2023-10-09,93213.16014041289,-48043.116272001585,230679.3046382247
2023-10-10,99608.16279017659,-36382.87752417047,243760.86334240178
2023-10-11,107972.55992703413,-31400.928133569207,248831.10438737855
2023-10-12,84873.97164736668,-48099.0603084823,217065.41164922298
2023-10-13,78022.29747412371,-69538.33243316927,216226.36149531914
2023-10-14,88935.90948456006,-56424.36556563637,215310.16378168805
2023-10-15,118197.60046108258,-14304.984257120415,254946.4525444459
2023-10-16,92887.23081483721,-46278.43979954345,235726.5819724924
2023-10-17,99282.23346464848,-40738.35367293601,237441.45946497386
2023-10-18,107646.63060142266,-37111.33945197127,246243.3355856504
2023-10-19,84548.04232183793,-55972.61071637804,228520.3408900813
2023-10-20,77696.36814853454,-55684.18839352582,224745.20738455813
2023-10-21,88609.98015900285,-62098.654148255235,229045.83989738594
2023-10-22,117871.67113888875,-22324.482236122487,250329.9585446499
2023-10-23,92561.30149606199,-44648.08810786914,229763.93668559776
2023-10-24,98956.30414922419,-35959.047690274405,231811.75900559226
2023-10-25,107320.70128941213,-46963.379287248696,240239.88736488373
2023-10-26,84222.1130132774,-48376.33887177115,221928.8441266503
2023-10-27,77370.43884337303,-55923.34702780116,214108.82231204954
2023-10-28,88284.0508572592,-49222.80589897592,220085.51384367922
2023-10-29,117545.74183712737,-27941.41678337485,252750.01722018715
2023-10-30,92235.37219428796,-49606.00204863994,242228.26513261214
2023-10-31,98630.37484749773,-43970.28922543487,244332.47803507818
2023-11-01,106994.77198769875,-29391.924677903975,234911.04190286083
2023-11-02,83896.18371143473,-50068.80835038863,230194.39631826614
2023-11-03,77044.50954161177,-56856.129721718135,216380.5221073986
2023-11-04,87958.12155538448,-47376.57975548063,217421.6126336804
2023-11-05,117219.81253534814,-16786.145315297443,260005.4739025956
2023-11-06,91909.44289248003,-45289.73449007735,224576.7208973934
2023-11-07,98304.44554572571,-42162.53088818139,244306.001298773
2023-11-08,106668.84268623267,-31966.750903832602,250667.11113663972
2023-11-09,83570.25441047776,-51465.57296166039,225419.71108599266
2023-11-10,76718.5802408817,-58642.34530838149,221364.73283098234
2023-11-11,87632.19225501578,-49624.17884423204,235410.05473144102
2023-11-12,116893.88323530545,-36166.51910418984,250709.56825969828
2023-11-13,91583.51359280235,-37033.47759112698,244878.53102759912
2023-11-14,97978.51624635984,-36885.70115435524,239834.6169738243
2023-11-15,106342.91338688605,-32646.833743269806,245728.2437314984
2023-11-16,83244.32511108255,-49984.92254209655,215405.18295398197
2023-11-17,76392.65094150037,-60903.36739252555,214739.80276625196
2023-11-18,87306.26295567233,-44662.01709445301,233806.26020793003
2023-11-19,116567.95393595022,-14502.072290926566,250140.95103163534
2023-11-20,91257.5842934599,-44643.342212105046,236690.077646643
2023-11-21,97652.58694699398,-48183.008545433215,236419.3130815539
2023-11-22,106016.98408753063,-22276.219626273218,250460.44360362375
2023-11-23,82918.39581172867,-61632.067054088264,217756.83868655883
2023-11-24,76066.72164217148,-63836.182480795986,214291.31290042232
2023-11-25,86980.33365632886,-43956.68848697939,222170.9219964688
2023-11-26,116242.02466199838,-23163.625195307548,247659.76719011247
2023-11-27,90931.65504496086,-60100.93667584731,227315.8472555136
2023-11-28,97326.65772397694,-38646.39546723587,236376.4709797649
2023-11-29,105691.05488991286,-26055.538666290668,246448.09470043253
2023-11-30,82592.46663954685,-58459.10191013898,222747.59647226814
2023-12-01,75740.79249537611,-55353.43792861056,215469.36016043503
2023-12-02,86654.40453489528,-49283.51634718298,224971.23133266126
2023-12-03,115916.0955406841,-26289.175330082337,247461.67809492856
2023-12-04,90605.72592360004,-47919.989786044374,232134.15183675193
2023-12-05,97000.72860260641,-44098.940501817524,228080.8544778437
2023-12-06,105365.12576860719,-25743.559889112672,238011.58407306072
2023-12-07,82266.53751815128,-56717.580840389666,217402.6463353896
2023-12-08,75414.86337406193,-63296.811080150816,219364.81596130165
2023-12-09,86328.4754135987,-54735.67948289061,221291.48119870963
2023-12-10,115590.16641935427,-26485.785733988007,261712.11387719368
2023-12-11,90279.7968022392,-47729.727153770014,230842.43403039902
2023-12-12,96674.79948127574,-38634.58413029363,231332.38685966824
2023-12-13,105039.19665309874,-33373.8621490188,243276.4565593371
2023-12-14,81940.60840845045,-53603.32295757711,222888.55036814604
2023-12-15,75088.93427013977,-61252.918640662305,214189.1604925923
2023-12-16,86002.54631552052,-45221.43632880725,224576.9672816101
2023-12-17,115264.23732706807,-17570.673261367163,248542.40217316826
2023-12-18,89953.86771578266,-54224.644144550555,230427.56438013577
2023-12-19,96348.8704005478,-42826.4805575473,224909.11265359638
2023-12-20,104713.2675723786,-30851.062031905287,248043.8219886561
2023-12-21,81614.67932773876,-49554.82912158762,220362.27284277877
2023-12-22,74763.00518944193,-67106.73018493515,212491.773731405
2023-12-23,85676.61723486654,-53342.85207679148,227326.9430424195
2023-12-24,114938.30824638085,-24906.410894380526,254358.71986293202
2023-12-25,89627.93863506439,-45218.107039315466,229570.05778959635
2023-12-26,96022.94131991103,-42509.543290329784,228863.42479799667
2023-12-27,104387.33849170667,-32530.370638569548,246950.74343857102
2023-12-28,81288.75024714267,-62679.29816271622,215516.43318022523
2023-12-29,74437.07610879655,-53266.79695256369,211312.39322383763
2023-12-30,85350.68816287906,-61416.569843538986,225527.5534412307
2023-12-31,114612.37918306592,-19324.64161357345,255129.303736113
2024-01-01,89302.00958041524,-46252.34096734088,225713.81492513858
2024-01-02,95697.01227389094,-41419.242517718194,229151.4320995793
2024-01-03,104061.40945437852,-35390.50985145852,247418.5877572078
2024-01-04,80962.82121850137,-61299.02501885758,227182.0011133267
2024-01-05,74111.14708887944,-68020.02258575088,223729.13165687709
2024-01-06,85024.75914297385,-45807.42817845588,221001.26894993894
2024-01-07,114286.45016312749,-20242.651966857837,257790.88677347155
2024-01-08,88976.08056053898,-63210.66182370475,226380.12293525095
